,CountryCode,Language,IsOfficial,Percentage
187,COD,Luba,F,18.0
188,COD,Mongo,F,13.5
189,COD,Ngala and Bangi,F,5.8
190,COD,Rundi,F,3.8
191,COD,Rwanda,F,10.3
192,COD,Teke,F,2.7
193,COD,Zande,F,6.1
194,COG,Kongo,F,51.5
195,COG,Mbete,F,4.8
196,COG,Mboshi,F,11.4
197,COG,Punu,F,2.9
198,COG,Sango,F,2.6
199,COG,Teke,F,17.3
200,COK,English,F,0.0
201,COK,Maori,T,0.0
202,COL,Arawakan,F,0.1
203,COL,Caribbean,F,0.1
204,COL,Chibcha,F,0.4
205,COL,Creole English,F,0.1
206,COL,Spanish,T,99.0
207,COM,Comorian,T,75.0
208,COM,Comorian-Arabic,F,1.6
209,COM,Comorian-French,F,12.9
210,COM,Comorian-madagassi,F,5.5
211,COM,Comorian-Swahili,F,0.5
212,CPV,Crioulo,F,100.0
213,CPV,Portuguese,T,0.0
214,CRI,Chibcha,F,0.3
215,CRI,Chinese,F,0.2
216,CRI,Creole English,F,2.0
217,CRI,Spanish,T,97.5
218,CUB,Spanish,T,100.0
219,CXR,Chinese,F,0.0
220,CXR,English,T,0.0
221,CYM,English,T,0.0
222,CYP,Greek,T,74.1
223,CYP,Turkish,T,22.4
224,CZE,Czech,T,81.2
225,CZE,German,F,0.5
226,CZE,Hungarian,F,0.2
227,CZE,Moravian,F,12.9
228,CZE,Polish,F,0.6
229,CZE,Romani,F,0.3
230,CZE,Silesiana,F,0.4
231,CZE,Slovak,F,3.1
232,DEU,German,T,91.3
233,DEU,Greek,F,0.4
234,DEU,Italian,F,0.7
235,DEU,Polish,F,0.3
236,DEU,Southern Slavic Languages,F,1.4
237,DEU,Turkish,F,2.6
238,DJI,Afar,F,34.8
239,DJI,Arabic,T,10.6
240,DJI,Somali,F,43.9
241,DMA,Creole English,F,100.0
242,DMA,Creole French,F,0.0
243,DNK,Arabic,F,0.7
244,DNK,Danish,T,93.5
245,DNK,English,F,0.3
246,DNK,German,F,0.5
247,DNK,Norwegian,F,0.3
248,DNK,Swedish,F,0.3
249,DNK,Turkish,F,0.8
250,DOM,Creole French,F,2.0
251,DOM,Spanish,T,98.0
252,DZA,Arabic,T,86.0
253,DZA,Berberi,F,14.0
254,ECU,Ketšua,F,7.0
255,ECU,Spanish,T,93.0
256,EGY,Arabic,T,98.8
257,EGY,Sinaberberi,F,0.0
258,ERI,Afar,F,4.3
259,ERI,Bilin,F,3.0
260,ERI,Hadareb,F,3.8
261,ERI,Saho,F,3.0
262,ERI,Tigre,F,31.7
263,ERI,Tigrinja,T,49.1
264,ESH,Arabic,T,100.0
265,ESP,Basque,F,1.6
266,ESP,Catalan,F,16.9
267,ESP,Galecian,F,6.4
268,ESP,Spanish,T,74.4
269,EST,Belorussian,F,1.4
270,EST,Estonian,T,65.3
271,EST,Finnish,F,0.7
272,EST,Russian,F,27.8
273,EST,Ukrainian,F,2.8
274,ETH,Amhara,F,30.0
275,ETH,Gurage,F,4.7
276,ETH,Oromo,F,31.0
277,ETH,Sidamo,F,3.2
278,ETH,Somali,F,4.1
279,ETH,Tigrinja,F,7.2
280,ETH,Walaita,F,2.8
281,FIN,Estonian,F,0.2
282,FIN,Finnish,T,92.7
283,FIN,Russian,F,0.4
284,FIN,Saame,F,0.0
285,FIN,Swedish,T,5.7
286,FJI,Fijian,T,50.8
287,FJI,Hindi,F,43.7
288,FLK,English,T,0.0
289,FRA,Arabic,F,2.5
290,FRA,French,T,93.6
291,FRA,Italian,F,0.4
292,FRA,Portuguese,F,1.2
293,FRA,Spanish,F,0.4
294,FRA,Turkish,F,0.4
295,FRO,Danish,T,0.0
296,FRO,Faroese,T,100.0
297,FSM,Kosrean,F,7.3
298,FSM,Mortlock,F,7.6
299,FSM,Pohnpei,F,23.8
300,FSM,Trukese,F,41.6
301,FSM,Wolea,F,3.7
302,FSM,Yap,F,5.8
303,GAB,Fang,F,35.8
304,GAB,Mbete,F,13.8
305,GAB,Mpongwe,F,14.6
306,GAB,Punu-sira-nzebi,F,17.1
307,GBR,English,T,97.3
308,GBR,Gaeli,F,0.1
309,GBR,Kymri,F,0.9
310,GEO,Abhyasi,F,1.7
311,GEO,Armenian,F,6.8
312,GEO,Azerbaijani,F,5.5
313,GEO,Georgiana,T,71.7
314,GEO,Osseetti,F,2.4
315,GEO,Russian,F,8.8
316,GHA,Akan,F,52.4
317,GHA,Ewe,F,11.9
318,GHA,Ga-adangme,F,7.8
319,GHA,Gurma,F,3.3
320,GHA,Joruba,F,1.3
321,GHA,Mossi,F,15.8
322,GIB,Arabic,F,7.4
323,GIB,English,T,88.9
324,GIN,Ful,F,38.6
325,GIN,Kissi,F,6.0
326,GIN,Kpelle,F,4.6
327,GIN,Loma,F,2.3
328,GIN,Malinke,F,23.2
329,GIN,Susu,F,11.0
330,GIN,Yalunka,F,2.9
331,GLP,Creole French,F,95.0
332,GLP,French,T,0.0
333,GMB,Diola,F,9.2
334,GMB,Ful,F,16.2
335,GMB,Malinke,F,34.1
336,GMB,Soninke,F,7.6
337,GMB,Wolof,F,12.6
338,GNB,Balante,F,14.6
339,GNB,Crioulo,F,36.4
340,GNB,Ful,F,16.6
341,GNB,Malinke,F,6.9
342,GNB,Mandyako,F,4.9
343,GNB,Portuguese,T,8.1
344,GNQ,Bubi,F,8.7
345,GNQ,Fang,F,84.8
346,GRC,Greek,T,98.5
347,GRC,Turkish,F,0.9
348,GRD,Creole English,F,100.0
349,GRL,Danish,T,12.5
350,GRL,Greenlandic,T,87.5
351,GTM,Cakchiquel,F,8.9
352,GTM,Kekchí,F,4.9
353,GTM,Mam,F,2.7
354,GTM,Quiché,F,10.1
355,GTM,Spanish,T,64.7
356,GUF,Creole French,F,94.3
357,GUF,Indian Languages,F,1.9
358,GUM,Chamorro,T,29.6
359,GUM,English,T,37.5
360,GUM,Japanese,F,2.0
361,GUM,Korean,F,3.3
362,GUM,Philippene Languages,F,19.7
363,GUY,Arawakan,F,1.4
364,GUY,Caribbean,F,2.2
365,GUY,Creole English,F,96.4
366,HKG,Canton Chinese,F,88.7
367,HKG,Chiu chau,F,1.4
368,HKG,English,T,2.2
369,HKG,Fukien,F,1.9
370,HKG,Hakka,F,1.6
371,HND,Creole English,F,0.2
372,HND,Garifuna,F,1.3
373,HND,Miskito,F,0.2
374,HND,Spanish,T,97.2
375,HRV,Serbo-Croatian,T,95.9
376,HRV,Slovene,F,0.0
377,HTI,French,T,0.0
378,HTI,Haiti Creole,F,100.0
379,HUN,German,F,0.4
380,HUN,Hungarian,T,98.5
381,HUN,Romani,F,0.5
382,HUN,Romanian,F,0.1
383,HUN,Serbo-Croatian,F,0.2
384,HUN,Slovak,F,0.1
385,IDN,Bali,F,1.7
386,IDN,Banja,F,1.8
387,IDN,Batakki,F,2.2
388,IDN,Bugi,F,2.2
389,IDN,Javanese,F,39.4
390,IDN,Madura,F,4.3
391,IDN,Malay,T,12.1
392,IDN,Minangkabau,F,2.4
393,IDN,Sunda,F,15.8
394,IND,Asami,F,1.5
395,IND,Bengali,F,8.2
396,IND,Gujarati,F,4.8
397,IND,Hindi,T,39.9
398,IND,Kannada,F,3.9
399,IND,Malajalam,F,3.6
400,IND,Marathi,F,7.4
401,IND,Orija,F,3.3
402,IND,Punjabi,F,2.8
403,IND,Tamil,F,6.3
404,IND,Telugu,F,7.8
405,IND,Urdu,F,5.1
406,IRL,English,T,98.4
407,IRL,Irish,T,1.6
408,IRN,Arabic,F,2.2
409,IRN,Azerbaijani,F,16.8
410,IRN,Bakhtyari,F,1.7
411,IRN,Balochi,F,2.3
412,IRN,Gilaki,F,5.3
413,IRN,Kurdish,F,9.1
414,IRN,Luri,F,4.3
415,IRN,Mazandarani,F,3.6
416,IRN,Persian,T,45.7
417,IRN,Turkmenian,F,1.6
418,IRQ,Arabic,T,77.2
419,IRQ,Assyrian,F,0.8
420,IRQ,Azerbaijani,F,1.7
421,IRQ,Kurdish,F,19.0
422,IRQ,Persian,F,0.8
423,ISL,English,F,0.0
424,ISL,Icelandic,T,95.7
425,ISR,Arabic,T,18.0
426,ISR,Hebrew,T,63.1
427,ISR,Russian,F,8.9
428,ITA,Albaniana,F,0.2
429,ITA,French,F,0.5
430,ITA,Friuli,F,1.2
431,ITA,German,F,0.5
432,ITA,Italian,T,94.1
433,ITA,Romani,F,0.2
434,ITA,Sardinian,F,2.7
435,ITA,Slovene,F,0.2
436,JAM,Creole English,F,94.2
437,JAM,Hindi,F,1.9
438,JOR,Arabic,T,97.9
439,JOR,Armenian,F,1.0
440,JOR,Circassian,F,1.0
441,JPN,Ainu,F,0.0
442,JPN,Chinese,F,0.2
443,JPN,English,F,0.1
444,JPN,Japanese,T,99.1
445,JPN,Korean,F,0.5
446,JPN,Philippene Languages,F,0.1
447,KAZ,German,F,3.1
448,KAZ,Kazakh,T,46.0
449,KAZ,Russian,F,34.7
450,KAZ,Tatar,F,2.0
451,KAZ,Ukrainian,F,5.0
452,KAZ,Uzbek,F,2.3
453,KEN,Gusii,F,6.1
454,KEN,Kalenjin,F,10.8
455,KEN,Kamba,F,11.2
456,KEN,Kikuyu,F,20.9
457,KEN,Luhya,F,13.8
458,KEN,Luo,F,12.8
459,KEN,Masai,F,1.6
460,KEN,Meru,F,5.5
461,KEN,Nyika,F,4.8
462,KEN,Turkana,F,1.4
463,KGZ,Kazakh,F,0.8
464,KGZ,Kirgiz,T,59.7
465,KGZ,Russian,T,16.2
466,KGZ,Tadzhik,F,0.8
467,KGZ,Tatar,F,1.3
468,KGZ,Ukrainian,F,1.7
469,KGZ,Uzbek,F,14.1
470,KHM,Chinese,F,3.1
471,KHM,Khmer,T,88.6
472,KHM,Tšam,F,2.4
473,KHM,Vietnamese,F,5.5
474,KIR,Kiribati,T,98.9
475,KIR,Tuvalu,F,0.5
476,KNA,Creole English,F,100.0
477,KNA,English,T,0.0
478,KOR,Chinese,F,0.1
479,KOR,Korean,T,99.9
480,KWT,Arabic,T,78.1
481,KWT,English,F,0.0
482,LAO,Lao,T,67.2
483,LAO,Lao-Soung,F,5.2
484,LAO,Mon-khmer,F,16.5
485,LAO,Thai,F,7.8
486,LBN,Arabic,T,93.0
487,LBN,Armenian,F,5.9
488,LBN,French,F,0.0
489,LBR,Bassa,F,13.7
490,LBR,Gio,F,7.9
491,LBR,Grebo,F,8.9
492,LBR,Kpelle,F,19.5
493,LBR,Kru,F,7.2
494,LBR,Loma,F,5.8
495,LBR,Malinke,F,5.1
496,LBR,Mano,F,7.2
497,LBY,Arabic,T,96.0
498,LBY,Berberi,F,1.0
499,LCA,Creole French,F,80.0
500,LCA,English,T,20.0
501,LIE,German,T,89.0
502,LIE,Italian,F,2.5
503,LIE,Turkish,F,2.5
504,LKA,Mixed Languages,F,19.6
505,LKA,Singali,T,60.3
506,LKA,Tamil,T,19.6
507,LSO,English,T,0.0
508,LSO,Sotho,T,85.0
509,LSO,Zulu,F,15.0
510,LTU,Belorussian,F,1.4
511,LTU,Lithuanian,T,81.6
512,LTU,Polish,F,7.0
513,LTU,Russian,F,8.1
514,LTU,Ukrainian,F,1.1
515,LUX,French,T,4.2
516,LUX,German,T,2.3
517,LUX,Italian,F,4.6
518,LUX,Luxembourgish,T,64.4
519,LUX,Portuguese,F,13.0
520,LVA,Belorussian,F,4.1
521,LVA,Latvian,T,55.1
522,LVA,Lithuanian,F,1.2
523,LVA,Polish,F,2.1
524,LVA,Russian,F,32.5
525,LVA,Ukrainian,F,2.9
526,MAC,Canton Chinese,F,85.6
527,MAC,English,F,0.5
528,MAC,Mandarin Chinese,F,1.2
529,MAC,Portuguese,T,2.3
530,MAR,Arabic,T,65.0
531,MAR,Berberi,F,33.0
532,MCO,English,F,6.5
533,MCO,French,T,41.9
534,MCO,Italian,F,16.1
535,MCO,Monegasque,F,16.1
536,MDA,Bulgariana,F,1.6
537,MDA,Gagauzi,F,3.2
538,MDA,Romanian,T,61.9
539,MDA,Russian,F,23.2
540,MDA,Ukrainian,F,8.6
541,MDG,French,T,0.0
542,MDG,Malagasy,T,98.9
543,MDV,Dhivehi,T,100.0
544,MDV,English,F,0.0
545,MEX,Mixtec,F,0.6
546,MEX,Náhuatl,F,1.8
547,MEX,Otomí,F,0.4
548,MEX,Spanish,T,92.1
549,MEX,Yucatec,F,1.1
550,MEX,Zapotec,F,0.6
551,MHL,English,T,0.0
552,MHL,Marshallese,T,96.8
553,MKD,Albaniana,F,22.9
554,MKD,Macedonian,T,66.5
555,MKD,Romani,F,2.3
556,MKD,Serbo-Croatian,F,2.0
557,MKD,Turkish,F,4.0
558,MLI,Bambara,F,31.8
559,MLI,Ful,F,13.9
560,MLI,Senufo and Minianka,F,12.0
561,MLI,Songhai,F,6.9
562,MLI,Soninke,F,8.7
563,MLI,Tamashek,F,7.3
564,MLT,English,T,2.1
565,MLT,Maltese,T,95.8
566,MMR,Burmese,T,69.0
567,MMR,Chin,F,2.2
568,MMR,Kachin,F,1.4
569,MMR,Karen,F,6.2
570,MMR,Kayah,F,0.4
571,MMR,Mon,F,2.4
572,MMR,Rakhine,F,4.5
573,MMR,Shan,F,8.5
574,MNG,Bajad,F,1.9
575,MNG,Buryat,F,1.7
576,MNG,Dariganga,F,1.4
577,MNG,Dorbet,F,2.7
578,MNG,Kazakh,F,5.9
579,MNG,Mongolian,T,78.8
580,MNP,Carolinian,F,4.8
581,MNP,Chamorro,F,30.0
582,MNP,Chinese,F,7.1
583,MNP,English,T,4.8
584,MNP,Korean,F,6.5
585,MNP,Philippene Languages,F,34.1
586,MOZ,Chuabo,F,5.7
587,MOZ,Lomwe,F,7.8
588,MOZ,Makua,F,27.8
589,MOZ,Marendje,F,3.5
590,MOZ,Nyanja,F,3.3
591,MOZ,Ronga,F,3.7
592,MOZ,Sena,F,9.4
593,MOZ,Shona,F,6.5
594,MOZ,Tsonga,F,12.4
595,MOZ,Tswa,F,6.0
596,MRT,Ful,F,1.2
597,MRT,Hassaniya,F,81.7
598,MRT,Soninke,F,2.7
599,MRT,Tukulor,F,5.4
600,MRT,Wolof,F,6.6
601,MRT,Zenaga,F,1.2
602,MSR,English,T,0.0
603,MTQ,Creole French,F,96.6
604,MTQ,French,T,0.0
605,MUS,Bhojpuri,F,21.1
606,MUS,Creole French,F,70.6
607,MUS,French,F,3.4
608,MUS,Hindi,F,1.2
