,CountryCode,Language,IsOfficial,Percentage
814,SWE,Finnish,F,2.4
815,SWE,Norwegian,F,0.5
816,SWE,Southern Slavic Languages,F,1.3
817,SWE,Spanish,F,0.6
818,SWE,Swedish,T,89.5
819,SWZ,Swazi,T,89.9
820,SWZ,Zulu,F,2.0
821,SYC,English,T,3.8
822,SYC,French,T,1.3
823,SYC,Seselwa,F,91.3
824,SYR,Arabic,T,90.0
825,SYR,Kurdish,F,9.0
826,TCA,English,T,0.0
827,TCD,Arabic,T,12.3
828,TCD,Gorane,F,6.2
829,TCD,Hadjarai,F,6.7
830,TCD,Kanem-bornu,F,9.0
831,TCD,Mayo-kebbi,F,11.5
832,TCD,Ouaddai,F,8.7
833,TCD,Sara,F,27.7
834,TCD,Tandjile,F,6.5
835,TGO,Ane,F,5.7
836,TGO,Ewe,T,23.2
837,TGO,Gurma,F,3.4
838,TGO,Kabyé,T,13.8
839,TGO,Kotokoli,F,5.7
840,TGO,Moba,F,5.4
841,TGO,Naudemba,F,4.1
842,TGO,Watyi,F,10.3
843,THA,Chinese,F,12.1
844,THA,Khmer,F,1.3
845,THA,Kuy,F,1.1
846,THA,Lao,F,26.9
847,THA,Malay,F,3.6
848,THA,Thai,T,52.6
849,TJK,Russian,F,9.7
850,TJK,Tadzhik,T,62.2
851,TJK,Uzbek,F,23.2
852,TKL,English,T,0.0
853,TKL,Tokelau,F,0.0
854,TKM,Kazakh,F,2.0
855,TKM,Russian,F,6.7
856,TKM,Turkmenian,T,76.7
857,TKM,Uzbek,F,9.2
858,TMP,Portuguese,T,0.0
859,TMP,Sunda,F,0.0
860,TON,English,T,0.0
861,TON,Tongan,T,98.3
862,TTO,Creole English,F,2.9
863,TTO,English,F,93.5
864,TTO,Hindi,F,3.4
865,TUN,Arabic,T,69.9
866,TUN,Arabic-French,F,26.3
867,TUN,Arabic-French-English,F,3.2
868,TUR,Arabic,F,1.4
869,TUR,Kurdish,F,10.6
870,TUR,Turkish,T,87.6
871,TUV,English,T,0.0
872,TUV,Kiribati,F,7.5
873,TUV,Tuvalu,T,92.5
874,TWN,Ami,F,0.6
875,TWN,Atayal,F,0.4
876,TWN,Hakka,F,11.0
877,TWN,Mandarin Chinese,T,20.1
878,TWN,Min,F,66.7
879,TWN,Paiwan,F,0.3
880,TZA,Chaga and Pare,F,4.9
881,TZA,Gogo,F,3.9
882,TZA,Ha,F,3.5
883,TZA,Haya,F,5.9
884,TZA,Hehet,F,6.9
885,TZA,Luguru,F,4.9
886,TZA,Makonde,F,5.9
887,TZA,Nyakusa,F,5.4
888,TZA,Nyamwesi,F,21.1
889,TZA,Shambala,F,4.3
890,TZA,Swahili,T,8.8
891,UGA,Acholi,F,4.4
892,UGA,Ganda,F,18.1
893,UGA,Gisu,F,4.5
894,UGA,Kiga,F,8.3
895,UGA,Lango,F,5.9
896,UGA,Lugbara,F,4.7
897,UGA,Nkole,F,10.7
898,UGA,Rwanda,F,3.2
899,UGA,Soga,F,8.2
900,UGA,Teso,F,6.0
901,UKR,Belorussian,F,0.3
902,UKR,Bulgariana,F,0.3
903,UKR,Hungarian,F,0.3
904,UKR,Polish,F,0.1
905,UKR,Romanian,F,0.7
906,UKR,Russian,F,32.9
907,UKR,Ukrainian,T,64.7
908,UMI,English,T,0.0
909,URY,Spanish,T,95.7
910,USA,Chinese,F,0.6
911,USA,English,T,86.2
912,USA,French,F,0.7
913,USA,German,F,0.7
914,USA,Italian,F,0.6
915,USA,Japanese,F,0.2
916,USA,Korean,F,0.3
917,USA,Polish,F,0.3
918,USA,Portuguese,F,0.2
919,USA,Spanish,F,7.5
920,USA,Tagalog,F,0.4
921,USA,Vietnamese,F,0.2
922,UZB,Karakalpak,F,2.0
923,UZB,Kazakh,F,3.8
924,UZB,Russian,F,10.9
925,UZB,Tadzhik,F,4.4
926,UZB,Tatar,F,1.8
927,UZB,Uzbek,T,72.6
928,VAT,Italian,T,0.0
929,VCT,Creole English,F,99.1
930,VCT,English,T,0.0
931,VEN,Goajiro,F,0.4
932,VEN,Spanish,T,96.9
933,VEN,Warrau,F,0.1
934,VGB,English,T,0.0
935,VIR,English,T,81.7
936,VIR,French,F,2.5
937,VIR,Spanish,F,13.3
938,VNM,Chinese,F,1.4
939,VNM,Khmer,F,1.4
940,VNM,Man,F,0.7
941,VNM,Miao,F,0.9
942,VNM,Muong,F,1.5
943,VNM,Nung,F,1.1
944,VNM,Thai,F,1.6
945,VNM,Tho,F,1.8
946,VNM,Vietnamese,T,86.8
947,VUT,Bislama,T,56.6
948,VUT,English,T,28.3
949,VUT,French,T,14.2
950,WLF,Futuna,F,0.0
951,WLF,Wallis,F,0.0
952,WSM,English,T,0.6
953,WSM,Samoan,T,47.5
954,WSM,Samoan-English,F,52.0
955,YEM,Arabic,T,99.6
956,YEM,Soqutri,F,0.0
957,YUG,Albaniana,F,16.5
958,YUG,Hungarian,F,3.4
959,YUG,Macedonian,F,0.5
960,YUG,Romani,F,1.4
961,YUG,Serbo-Croatian,T,75.2
962,YUG,Slovak,F,0.7
963,ZAF,Afrikaans,T,14.3
964,ZAF,English,T,8.5
965,ZAF,Ndebele,F,1.5
966,ZAF,Northsotho,F,9.1
967,ZAF,Southsotho,F,7.6
968,ZAF,Swazi,F,2.5
969,ZAF,Tsonga,F,4.3
970,ZAF,Tswana,F,8.1
971,ZAF,Venda,F,2.2
972,ZAF,Xhosa,T,17.7
973,ZAF,Zulu,T,22.7
974,ZMB,Bemba,F,29.7
975,ZMB,Chewa,F,5.7
976,ZMB,Lozi,F,6.4
977,ZMB,Nsenga,F,4.3
978,ZMB,Nyanja,F,7.8
979,ZMB,Tongan,F,11.0
980,ZWE,English,T,2.2
981,ZWE,Ndebele,F,16.2
982,ZWE,Nyanja,F,2.2
983,ZWE,Shona,F,72.1
